Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36789.4451874028,36708.2563166917,37834.6101746783,39240.4883343607,40724.8185408524,42477.5010837097,43010.4408842455,40298.4050269526,40831.1140805706,37671.1479606453,32168.004537358,30457.7177903733,30328.8543292906,30562.6450849424,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1895.37061958589,1941.38433392354,1878.92685293753,2060.16510374798,2296.0471567258,2423.44620024237,2160.18267423056,1909.6309020319,1628.97218524783,1810.42969250703,1947.28403660688,2103.13353121535,1970.1086773754,2046.9712650314,2109.71672581151,2227.12584327315,2338.71987682303,2551.41574089571,2631.44349154779,2610.6998840314,2529.99625647447,2541.31973769943,2570.67572251072
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,World,WLD,3689.13178820104,3797.44892987552,3940.82331765797,4061.93957726426,4245.57592923402,4391.31447965112,4549.85630205182,4655.32271767497,4844.71717072014,5034.92812758508,5160.18284043282,5272.17549087575,5464.19457464002,5708.4424874542,5710.32108457373,5648.58438193972,5846.50237812863,5976.62272835549,6109.26749644026,6253.20774315498,6267.86920740399,6278.30100639178,6188.72589603715,6226.21553805045,6397.43226068274,6530.87759848833,6630.43783631664,6747.37683650306,6938.45588844688,7075.41340774734,7163.49399761867,7147.34030907057,7162.34897748525,7167.67008829129,7273.4658526098,7383.7329317501,7524.51119277883,7690.67546835323,7776.46810156881,7922.54219417121,8162.91451229437,8214.49293717925,8284.74691282272,8419.66635669001,8685.17616609386,8907.5627261718,9178.28308840968,9451.46484155893,9504.87166042112,9226.0635525059,9509.36593449723,9694.53883238898,9812.67603075573,9948.09503483647,10108.4985012406,10263.1349064947,10390.5452179202
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,972.582823577522,984.430076755727,1012.15140443137,1000.7158375534,1018.88648711481,1032.52089011398,1041.7035135761,1061.49078599616,1092.80109265068,1102.61307818631,1138.24714181681,1148.42761633894,1160.24323895414,1170.143593952,1182.89824967158,1214.70466569608,1219.00746147531,1225.47238603882,1235.8115887039,1249.03367793608,1309.23195973585,1112.35193187576,1108.89519303159,1132.09880614324,1101.1174435602,772.033821470117,679.667360030094
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Zambia,ZMB,1508.44269091056,1482.51982559886,1400.83957482692,1401.46217335917,1523.54144854009,1722.08030543425,1576.26619760099,1649.19770689045,1618.48133444179,1560.8053506583,1582.77318480586,1528.73609411653,1612.6881096061,1542.14232973458,1584.67268061158,1495.65804704499,1534.84991149627,1415.59826816285,1375.87752369748,1289.66046686801,1284.25128824571,1317.60385646938,1237.5911945035,1173.09858088488,1131.45990533212,1113.95656211186,1088.30906593504,1084.89524583213,1120.5095070014,1078.70477484639,1044.97060684947,1017.65597261434,974.89385761632,1015.1113909384,903.89152486111,905.554641891652,935.529938599595,943.855469335807,913.412361936449,928.863582488447,938.351156683685,961.499931611043,978.053430616845,1018.361971072,1061.19773107669,1107.72817478721,1163.30272721647,1226.54054771906,1285.86452755948,1365.40234434284,1463.21357310715,1499.72831129858,1565.90033409032,1595.91503746764,1620.82328956606,1618.45766533614,1622.40995813479
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Zimbabwe,ZWE,893.908713311472,920.074735712921,903.249154915165,928.689479439805,888.925855992751,902.899186714866,887.819698401713,932.09283020302,920.797112977537,1002.56747039048,1189.3618209608,1252.92028507392,1312.00612061184,1301.24434507329,1342.01745511958,1274.25710744714,1241.02793279362,1121.46837675147,1058.34626069631,1058.71295981535,1170.40234624377,1269.54954529595,1254.12452581305,1225.43822095091,1156.72823794586,1191.81571103301,1173.81194153484,1146.80921956495,1193.4783182242,1217.72300738553,1266.92780434221,1303.73293299614,1159.56452340609,1147.80890919042,1229.99231247816,1209.80124116857,1312.20354720657,1325.31694186554,1342.54279630389,1312.66067911302,1256.08371009324,1259.33808426814,1135.00033309387,932.160667702343,868.156436927801,808.294356331969,769.361426919362,729.818727192766,590.738406864699,630.463204702712,713.603506154235,812.822512514986,903.091387546896,928.984217397657,932.548383038448,923.899696860824,908.829979754807
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,59.7773265083934,59.8781528089471,58.4928738323479,78.7827580362892,82.2084438594401,101.290471274167,137.899361896954,161.322000088481,129.506653844251,129.798541408375,157.187422389233,160.372835554154,136.117014381199,144.110318929266,174.94203831954,187.975604013726,199.026172729051,226.005343759305,249.287386261794,277.900741665078,274.880858701521,266.493041808705,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117.409690794955,187.845094955388,198.728543552291,219.141352785465,250.29412990949,272.563077018147,369.835795969823,373.361116300036,445.893297923744,553.300289383064,603.53702306241,669.009050888028,631.744970641527,612.069651391198,584.025902055779,561.778746269502
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,662.520052309054,662.914792567128,719.157295703914,699.384292086697,676.566732520011,723.409610237851,639.463899289892,348.711317786982,218.492165902633,380.527371084275,619.065163447139,760.559375774093,1046.35851070754,749.58464901464,865.302161769888,1098.42546340677,1175.78898079471,1326.97033929809,1453.64277657175,1890.68155733514,2416.58823505194,2709.14293061386,3005.01290331851,3603.01368536638,4370.53964653148,4114.13654490945,4094.35883191918,4437.17806843608,4247.61430826246,4414.72313957332,4575.76378666221,3954.02278326009,4146.89625046198
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,244.824806483632,213.485905063471,171.209809463866,225.530596175825,236.610189565084,248.37814358709,234.188908344417,252.418252162025,280.268288209403,300.981825658516,334.259527686164,339.384049071749,439.731123857229,551.434441695138,813.049902670207,931.105517329,1031.30313516839,1185.51063534845,1447.6180205344,1771.965548606,2189.77667951046,2223.69734407236,2197.11050017923,2298.88380549028,2452.66463175613,2567.49590456016,2740.65472375228,2790.47391888994,2402.82562714757,2202.55809013399,2394.42038015197,1721.57869577876,1766.05467841426,1797.52356051118,1499.97150457383,1444.90803609489,1596.02986731002,1612.00930288912,1588.48144916691,1581.00456398017,1757.01779715994,1732.85797888376,1774.0336730152,2094.33550572581,2598.90802346666,3100.12237758677,3464.61007870202,3935.18334285931,4905.25486576261,3868.83123040908,4463.39467488951,5432.25020268075,5564.82565958068,5471.86676584854,5470.85100707097,4132.76029208861,3843.75232202304
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8751.76652874972,8914.52543261668,8639.30885529158,8508.40691498359,8456.94799658994,8980.53641434813,9871.99719445906,12058.26382343,10352.8227618312,10375.9942154736,11660.329531052,11553.6912144936,11508.5592654725,11541.8549795632,..
